Date,Time,Zone,Device,PPM,VOC
12/21/2021,18:48,Zone1,T4,0,0
12/21/2021,18:49,Zone1,T1,634,35
12/21/2021,18:49,Zone1,T2,552,23
12/21/2021,18:49,Zone2,T1,574,26
12/21/2021,18:49,Zone2,T2,507,16
12/21/2021,18:49,Zone1,T3,0,0
12/21/2021,18:49,Zone1,T4,0,0
12/21/2021,18:50,Zone1,T1,586,28
12/21/2021,18:50,Zone1,T2,552,23
12/21/2021,18:50,Zone2,T1,594,29
12/21/2021,18:50,Zone2,T2,462,9
12/21/2021,18:50,Zone1,T3,0,0
12/21/2021,18:50,Zone1,T4,0,0
12/21/2021,18:51,Zone1,T1,594,29
12/21/2021,18:51,Zone1,T2,552,23
12/21/2021,18:51,Zone2,T1,623,33
12/21/2021,18:51,Zone2,T2,507,16
12/21/2021,18:51,Zone1,T3,0,0
12/21/2021,18:51,Zone1,T4,0,0
12/21/2021,18:52,Zone1,T1,602,30
12/21/2021,18:52,Zone1,T2,552,23
12/21/2021,18:52,Zone2,T1,652,38
12/21/2021,18:52,Zone2,T2,461,9
12/21/2021,18:52,Zone1,T3,0,0
12/21/2021,18:52,Zone1,T4,0,0
12/21/2021,18:53,Zone1,T1,575,26
12/21/2021,18:53,Zone1,T2,552,23
12/21/2021,18:53,Zone2,T1,597,30
12/21/2021,18:53,Zone2,T2,501,15
12/21/2021,18:56,Zone1,T1,578,27
12/21/2021,18:56,Zone1,T2,552,23
12/21/2021,18:56,Zone2,T1,530,19
12/21/2021,18:56,Zone2,T2,459,8
12/21/2021,18:56,Zone1,T3,0,0
12/21/2021,18:56,Zone1,T4,0,0
12/21/2021,18:57,Zone1,T1,600,30
12/21/2021,18:57,Zone1,T2,552,23
12/21/2021,18:57,Zone2,T1,545,22
12/21/2021,18:57,Zone2,T2,492,14
12/21/2021,18:57,Zone1,T3,0,0
12/21/2021,18:57,Zone1,T4,0,0
12/21/2021,18:58,Zone1,T1,594,29
12/21/2021,18:58,Zone1,T2,552,23
12/21/2021,18:58,Zone2,T1,594,29
12/21/2021,18:58,Zone2,T2,459,8
12/21/2021,18:58,Zone1,T3,0,0
12/21/2021,18:58,Zone1,T4,0,0
12/21/2021,18:59,Zone1,T1,584,28
